ts,open,high,low,close,volume,trades
2026-07-29 05:10:00+00:00,6.852,6.995,6.843,6.93,223861.5,1509
2026-07-29 05:15:00+00:00,6.9351,6.9959,6.8714,6.8886,104164.8,1051
2026-07-29 05:20:00+00:00,6.8858,6.9499,6.8767,6.9144,32648.9,298
2026-07-29 05:25:00+00:00,6.9153,6.95,6.901,6.9369,9781.7,182
2026-07-29 05:30:00+00:00,6.94,7.099,6.94,7.0851,202522.8,1631
2026-07-29 05:35:00+00:00,7.0851,7.1,6.9804,7.0502,81432.3,1379
2026-07-29 05:40:00+00:00,7.0502,7.1591,7.0361,7.1396,101039.5,1235
2026-07-29 05:45:00+00:00,7.1394,7.1919,7.0918,7.1416,175214.7,1998
2026-07-29 05:50:00+00:00,7.1381,7.3,7.1381,7.2301,247360.4,1948
2026-07-29 05:55:00+00:00,7.2301,7.2839,7.1524,7.2507,127919.6,1115
2026-07-29 06:00:00+00:00,7.2282,7.2525,7.1286,7.1349,74679.0,778
2026-07-29 06:05:00+00:00,7.1379,7.15,7.0643,7.0656,64589.9,680
2026-07-29 06:10:00+00:00,7.0806,7.128,7.04,7.119,59357.2,580
2026-07-29 06:15:00+00:00,7.1153,7.18,7.1048,7.164,36121.6,413
2026-07-29 06:20:00+00:00,7.1695,7.1712,7.1044,7.1377,25479.5,516
2026-07-29 06:25:00+00:00,7.1375,7.15,7.0643,7.1106,47019.0,924
2026-07-29 06:30:00+00:00,7.1193,7.1498,7.1,7.1114,53270.8,770
2026-07-29 06:35:00+00:00,7.1114,7.1494,7.068,7.0805,76511.4,1139
2026-07-29 06:40:00+00:00,7.0689,7.0902,7.0314,7.0516,36806.1,605
2026-07-29 06:45:00+00:00,7.0477,7.075,7.0381,7.0629,51625.9,624
2026-07-29 06:50:00+00:00,7.0627,7.0961,7.035,7.0825,57129.9,591
2026-07-29 06:55:00+00:00,7.0885,7.2,7.0236,7.1636,174076.5,1473
2026-07-29 07:00:00+00:00,7.1636,7.176,7.0757,7.1138,61167.2,1193
2026-07-29 07:05:00+00:00,7.1138,7.1488,7.0886,7.1488,46967.1,616
